player_name,team_abbr,start_season,end_season,option_type,salary_2025,salary_2026,salary_2027,salary_2028
LeBron James,LAL,2024,2026,player,52627153,54126380,,
Jaylen Brown,BOS,2024,2028,,49205800,53142264,57078728,61015192
